"Date","NB_Accidents","NB_VEH_IMPLIQUES_ACCDN","NB_MORTS","NB_BLESSES_GRAVES","NB_BLESSES_LEGERS","NB_VICTIMES_TOTAL","nb_automobile_camion_leger","nb_camionLourd_tractRoutier","nb_outil_equipement","nb_tous_autobus_minibus","nb_bicyclette","nb_cyclomoteur","nb_motocyclette","nb_taxi","nb_urgence","nb_motoneige","nb_VHR","nb_autres_types","nb_veh_non_precise","NB_DECES_PIETON","NB_BLESSES_PIETON","NB_VICTIMES_PIETON","NB_DECES_MOTO","NB_BLESSES_MOTO","NB_VICTIMES_MOTO","NB_DECES_VELO","NB_BLESSES_VELO","NB_VICTIMES_VELO","SeverityDeadly","SeverityLight Injury","SeverityMaterial High","SeverityMaterial Low","SeveritySevere Injury","as.factor(Accident_Type)31","as.factor(Accident_Type)32","as.factor(Accident_Type)33","as.factor(Accident_Type)34","as.factor(Accident_Type)35","as.factor(Accident_Type)36","as.factor(Accident_Type)37","as.factor(Accident_Type)38","as.factor(Accident_Type)39","as.factor(Accident_Type)40","as.factor(Accident_Type)41","as.factor(Accident_Type)42","as.factor(Accident_Type)43","as.factor(Accident_Type)44","as.factor(Accident_Type)45","as.factor(Accident_Type)46","as.factor(Accident_Type)47","as.factor(Accident_Type)48","as.factor(Accident_Type)49","as.factor(Accident_Type)50","as.factor(Accident_Type)51","as.factor(Accident_Type)52","as.factor(Accident_Type)53","as.factor(Accident_Type)54","as.factor(Accident_Type)55","as.factor(Accident_Type)59","as.factor(Accident_Type)71","as.factor(Accident_Type)72","as.factor(Accident_Type)73","as.factor(Accident_Type)74","as.factor(Accident_Type)75","as.factor(Accident_Type)99","Accident_CategoryFixed Object","Accident_CategoryMoving Object","Accident_CategoryNo Collision","Auth_Speed10","Auth_Speed100","Auth_Speed20","Auth_Speed30","Auth_Speed40","Auth_Speed50","Auth_Speed60","Auth_Speed70","Auth_Speed80","Auth_Speed90","Surface_CondDry","Surface_CondHard snow","Surface_CondIce","Surface_CondMud","Surface_CondOil","Surface_CondSand or gravel","Surface_CondSlush","Surface_CondSnow","Surface_CondWater accumulation","Surface_CondWet","IlluminationDay and clear","IlluminationDay and semi-dark","IlluminationNight and dark","IlluminationNight and lighted","EnvironmentCommercial","EnvironmentForest","EnvironmentIndustrial","EnvironmentPark","EnvironmentResidential","EnvironmentRural","EnvironmentSchool area","WeatherBlack Ice","WeatherClear Sky","WeatherCloudy","WeatherDrizzle","WeatherFoggy","WeatherHeavy Rain","WeatherSnow","WeatherSnowstorms","WeatherStrong Wind","cluster_id_0","cluster_id_1","cluster_id_2","cluster_id_3","cluster_id_4","cluster_id_5","Temp","Rel.Hum","Wind.Spd","Dew.Point.Temp","Stn_Press","Wind.Dir","weekdays","days"
2012-01-01,61,129,0,1,19,20,99,0,1,0,0,0,0,6,0,0,0,0,23,0,4,4,0,0,0,0,0,0,0,11,22,27,1,48,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,52,1,0,0,0,2,10,27,0,0,0,0,4,0,1,1,0,0,12,11,0,22,10,4,0,37,12,0,0,0,42,0,0,0,16,21,8,2,0,2,0,0,6,5,17,8,5,20,0.7625,89.4166666666667,4.79166666666667,-0.795833333333333,100.134166666667,19.0434782608696,1,6
2012-01-02,47,89,0,0,8,8,64,1,0,0,0,0,0,0,0,0,0,0,24,0,2,2,0,0,0,0,0,0,0,7,19,21,0,34,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,5,37,1,1,0,0,2,5,11,0,1,0,0,18,0,10,0,0,0,0,1,0,10,20,2,0,19,21,0,1,1,22,1,0,0,28,9,2,0,0,0,0,0,1,11,8,7,8,12,0.1875,63.7083333333333,8.95833333333333,-5.94583333333333,99.0225,23.3333333333333,0,0
2012-01-03,68,127,0,0,12,12,88,8,0,0,0,0,0,3,2,0,0,1,25,0,5,5,0,0,0,0,0,0,0,9,25,34,0,50,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,6,54,1,0,0,0,0,8,22,1,1,0,0,42,1,7,0,0,0,0,1,0,5,32,1,2,20,33,0,5,0,23,0,0,0,50,5,0,0,0,2,0,0,7,10,13,11,13,14,-14.4291666666667,55.6666666666667,7.70833333333333,-21.4166666666667,100.731666666667,25.625,0,1
2012-01-04,75,144,0,0,8,8,100,6,1,1,0,0,0,1,3,0,0,1,31,0,1,1,0,0,0,0,0,0,0,6,30,39,0,60,3,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,6,64,0,0,0,0,1,10,19,0,0,0,0,31,1,13,0,0,0,3,10,0,8,40,3,0,23,44,0,1,0,23,0,1,1,35,12,0,0,0,18,0,0,13,11,11,14,9,17,-13.4208333333333,67.8333333333333,5.29166666666667,-18.1166666666667,100.784583333333,23.4166666666667,0,2
2012-01-05,92,177,0,1,14,15,134,2,0,1,0,0,0,0,3,0,0,2,35,0,5,5,0,0,0,0,0,0,0,12,28,51,1,72,7,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,1,8,79,1,2,0,0,2,9,42,1,0,0,0,15,3,8,0,0,0,3,20,0,32,45,7,1,25,43,0,2,1,36,1,1,0,52,17,0,0,0,11,0,0,13,7,15,13,20,24,-5.82916666666667,69.2083333333333,5.41666666666667,-10.7375,100.032083333333,20.2608695652174,0,3
2012-01-06,65,122,0,0,11,11,89,3,1,0,0,0,0,2,4,0,0,0,23,0,2,2,0,0,0,0,0,0,0,10,26,29,0,47,3,0,0,0,0,0,1,0,1,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,7,51,1,0,0,0,1,3,25,1,0,0,0,3,2,5,0,0,0,11,24,0,14,39,4,0,16,37,0,4,0,21,0,0,0,17,26,0,1,0,16,0,0,7,5,16,15,6,16,-11.1791666666667,80.1666666666667,8.70833333333333,-13.95,99.945,4.70833333333333,0,4
2012-01-07,73,145,0,1,18,19,110,4,0,1,0,0,0,1,1,0,0,2,26,0,3,3,0,0,0,0,0,0,0,13,22,37,1,53,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,4,56,1,0,0,0,3,11,28,0,0,0,0,5,2,6,0,0,0,7,19,0,29,37,8,1,25,37,0,0,0,33,1,1,3,20,22,10,1,0,11,0,0,4,7,17,18,9,18,-4.30833333333333,88.5,5.04166666666667,-5.90833333333333,99.7716666666667,19.25,1,5
2012-01-08,68,133,0,0,5,5,96,1,0,0,0,0,0,3,1,0,0,1,31,0,0,0,0,0,0,0,0,0,0,3,34,31,0,54,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,55,0,0,0,0,2,13,19,0,0,0,0,9,2,3,0,0,0,4,9,0,28,26,4,0,23,28,0,1,0,34,1,1,0,36,15,0,0,0,2,0,0,7,4,23,12,11,11,-5.65833333333333,70.9166666666667,5.125,-10.0875,101.28625,24.8333333333333,1,6
2012-01-09,66,127,0,1,7,8,83,8,0,0,1,0,0,4,2,0,0,2,27,0,3,3,0,0,0,0,1,1,0,5,21,39,1,50,4,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,56,0,0,0,0,0,8,27,1,0,0,0,15,0,5,0,0,0,8,7,1,19,32,7,0,19,25,0,5,1,30,0,1,0,33,19,0,0,0,3,0,0,4,4,21,16,9,12,-3.89166666666667,73.9166666666667,5.5,-7.8875,100.989583333333,19.8181818181818,0,0
2012-01-10,80,155,0,2,14,16,112,2,1,4,1,0,0,1,4,0,0,2,28,0,5,5,0,0,0,0,1,1,0,13,24,41,2,61,5,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,67,2,2,0,0,4,6,35,0,0,0,0,26,3,0,1,0,0,1,11,0,24,43,4,0,23,41,0,2,0,30,1,2,1,51,12,2,0,0,2,0,0,6,7,23,11,17,16,-1.09583333333333,70.0416666666667,8.95833333333333,-6.00416666666667,100.103333333333,17.25,0,1
